transcript_id,speaker_role,section,sent_id,verb_word_id,dep_word_id,verb_lemma,verb_category,dep_role,deprel,dep_text,dep_lemma,agent_type,cluster,cluster_long
creativity_0003,user,changed_aspects,4,5,7,explore,IDEATION,OBJECT,obj,possibilities,possibility,,Content writing,2
creativity_0003,user,concerns,3,5,7,see,AI_USE,OBJECT,obj,time,time,,Content writing,2
creativity_0003,user,concerns,3,13,10,become,AI_USE,SUBJECT,nsubj,art,art,OTHER,Content writing,2
creativity_0003,user,concerns,4,6,7,see,AI_USE,OBJECT,obj,choreographers,choreographer,,Content writing,2
creativity_0003,user,concerns,4,8,9,use,AI_USE,OBJECT,obj,it,it,,Content writing,2
creativity_0003,user,concerns,5,4,7,do,AI_USE,OBJECT,obj,job,job,,Content writing,2
creativity_0003,user,concerns,6,8,10,make,CONTROL,OBJECT,obj,plans,plan,,Content writing,2
creativity_0003,user,concerns,7,17,14,create,AUTHORSHIP,SUBJECT,nsubj,I,I,HUMAN,Content writing,2
creativity_0003,user,concerns,7,17,20,create,AUTHORSHIP,OBJECT,obj,plan,plan,,Content writing,2
creativity_0003,user,concerns,7,28,29,use,AI_USE,OBJECT,obj,AI,AI,,Content writing,2
creativity_0003,user,future,1,4,5,use,AI_USE,OBJECT,obj,it,it,,Content writing,2
creativity_0003,user,future,2,16,13,learn,IDEATION,SUBJECT,nsubj,AI,AI,AI,Content writing,2
creativity_0003,user,future,2,16,19,learn,IDEATION,OBJECT,obj,style,style,,Content writing,2
creativity_0003,user,future,2,21,22,apply,AI_USE,OBJECT,obj,that,that,,Content writing,2
creativity_0003,user,future,2,26,25,tell,IDEATION,SUBJECT,nsubj,it,it,OTHER,Content writing,2
creativity_0003,user,future,2,26,27,tell,IDEATION,OBJECT,iobj,me,I,,Content writing,2
creativity_0004,user,basic_job_description,2,15,17,hire,AI_USE,OBJECT,obj,creatives,creative,,Audiovisual,4
creativity_0004,user,walkthrough,1,13,15,automate,AI_USE,OBJECT,obj,tasks,task,,Audiovisual,4
creativity_0004,user,walkthrough,3,8,9,draft,AUTHORSHIP,OBJECT,obj,memos,memo,,Audiovisual,4
creativity_0004,user,project_example,1,6,5,work,AUTHORSHIP,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0004,user,project_example,1,13,17,draft,AUTHORSHIP,OBJECT,obj,letter,letter,,Audiovisual,4
creativity_0004,user,project_example,2,15,14,fall,AI_USE,SUBJECT,nsubj,tasks,task,OTHER,Audiovisual,4
creativity_0004,user,project_example,2,33,34,use,AI_USE,OBJECT,obj,AI,AI,,Audiovisual,4
creativity_0004,user,project_example,2,36,37,draft,AUTHORSHIP,OBJECT,obj,something,something,,Audiovisual,4
creativity_0004,user,project_example,2,39,38,have,IDEATION,SUBJECT,nsubj,that,that,OTHER,Audiovisual,4
creativity_0004,user,project_example,2,39,42,have,IDEATION,OBJECT,obj,tone,tone,,Audiovisual,4
creativity_0004,user,project_example,3,5,6,use,AI_USE,OBJECT,obj,it,it,,Audiovisual,4
creativity_0004,user,project_example,3,10,11,generate,AI_USE,OBJECT,obj,graphics,graphic,,Audiovisual,4
creativity_0004,user,project_example,3,23,20,work,AUTHORSHIP,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0004,user,project_example,3,32,29,find,IDEATION,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0004,user,project_example,3,32,35,find,IDEATION,OBJECT,obj,model,model,,Audiovisual,4
creativity_0004,user,project_example,3,40,42,produce,AUTHORSHIP,OBJECT,obj,document,document,,Audiovisual,4
creativity_0004,user,dynamic,1,15,17,use,AI_USE,OBJECT,obj,tool,tool,,Audiovisual,4
creativity_0004,user,dynamic,1,19,21,draft,AUTHORSHIP,OBJECT,obj,letter,letter,,Audiovisual,4
creativity_0004,user,dynamic,1,34,31,write,AUTHORSHIP,SUBJECT,nsubj:pass,it,it,OTHER,Audiovisual,4
creativity_0004,user,dynamic,2,4,2,go,AUTHORSHIP,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0004,user,dynamic,2,6,7,send,AUTHORSHIP,OBJECT,obj,something,something,,Audiovisual,4
creativity_0004,user,dynamic,2,25,24,want,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0004,user,dynamic,2,25,26,want,AI_USE,OBJECT,obj,it,it,,Audiovisual,4
creativity_0004,user,dynamic,3,24,27,get,IDEATION,OBJECT,obj,level,level,,Audiovisual,4
creativity_0004,user,dynamic,3,36,35,be,AUTHORSHIP,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0004,user,changed_aspects,2,8,5,change,AUTHORSHIP,SUBJECT,nsubj,anything,anything,OTHER,Audiovisual,4
creativity_0004,user,changed_aspects,2,11,10,start,IDEATION,SUBJECT,nsubj,we,we,HUMAN,Audiovisual,4
creativity_0004,user,changed_aspects,2,12,13,use,AI_USE,OBJECT,obj,it,it,,Audiovisual,4
creativity_0004,user,changed_aspects,2,18,17,help,AI_USE,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0004,user,changed_aspects,2,19,21,save,AI_USE,OBJECT,obj,bit,bit,,Audiovisual,4
creativity_0004,user,concerns,1,9,7,take,AI_USE,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0004,user,concerns,1,9,10,take,AI_USE,OBJECT,obj,jobs,job,,Audiovisual,4
creativity_0004,user,concerns,3,13,18,capture,AI_USE,OBJECT,obj,perspective,perspective,,Audiovisual,4
creativity_0004,user,concerns,3,23,19,have,IDEATION,OBJECT,obj,that,that,,Audiovisual,4
creativity_0004,user,concerns,3,23,21,have,IDEATION,SUBJECT,nsubj,human,human,OTHER,Audiovisual,4
creativity_0004,user,concerns,3,27,25,have,IDEATION,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0004,user,concerns,3,34,32,exist,AI_USE,SUBJECT,nsubj,that,that,OTHER,Audiovisual,4
creativity_0004,user,concerns,3,37,36,make,CONTROL,SUBJECT,nsubj,which,which,OTHER,Audiovisual,4
creativity_0004,user,concerns,3,37,38,make,CONTROL,OBJECT,obj,me,I,,Audiovisual,4
creativity_0004,user,concerns,3,42,40,struggle,AI_USE,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0004,user,concerns,4,13,18,create,AUTHORSHIP,OBJECT,obj,stories,story,,Audiovisual,4
creativity_0004,user,concerns,5,3,1,say,AI_USE,SUBJECT,nsubj:pass,That,that,OTHER,Audiovisual,4
creativity_0004,user,concerns,5,10,16,create,AUTHORSHIP,OBJECT,obj,content,content,,Audiovisual,4
creativity_0004,user,concerns,5,22,21,show,AUTHORSHIP,SUBJECT,nsubj,algorithms,algorithm,AI,Audiovisual,4
creativity_0004,user,concerns,5,29,26,take,AI_USE,SUBJECT,nsubj,which,which,OTHER,Audiovisual,4
creativity_0004,user,concerns,5,29,30,take,AI_USE,OBJECT,obj,jobs,job,,Audiovisual,4
creativity_0004,user,concerns,5,36,38,be,AUTHORSHIP,SUBJECT,nsubj,lot,lot,OTHER,Audiovisual,4
creativity_0004,user,concerns,6,6,3,create,AUTHORSHIP,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0004,user,concerns,6,6,9,create,AUTHORSHIP,OBJECT,obj,barrier,barrier,,Audiovisual,4
creativity_0004,user,concerns,6,15,14,want,AI_USE,SUBJECT,nsubj,who,who,OTHER,Audiovisual,4
creativity_0004,user,concerns,6,17,19,learn,IDEATION,OBJECT,obj,trades,trade,,Audiovisual,4
creativity_0004,user,concerns,6,23,21,have,IDEATION,SUBJECT,nsubj,they,they,HUMAN,Audiovisual,4
creativity_0004,user,concerns,6,25,27,develop,IDEATION,OBJECT,obj,skills,skill,,Audiovisual,4
creativity_0004,user,concerns,6,41,38,get,IDEATION,SUBJECT,nsubj,they,they,HUMAN,Audiovisual,4
creativity_0004,user,concerns,6,41,44,get,IDEATION,OBJECT,obj,job,job,,Audiovisual,4
creativity_0004,user,future,1,7,3,use,AI_USE,SUBJECT,nsubj:pass,it,it,OTHER,Audiovisual,4
creativity_0004,user,future,1,15,13,help,AI_USE,SUBJECT,nsubj,which,which,OTHER,Audiovisual,4
creativity_0004,user,future,1,16,17,save,AI_USE,OBJECT,obj,time,time,,Audiovisual,4
creativity_0004,user,future,2,5,3,have,IDEATION,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0004,user,future,2,5,8,have,IDEATION,OBJECT,obj,way,way,,Audiovisual,4
creativity_0004,user,future,2,16,18,generate,AI_USE,OBJECT,obj,content,content,,Audiovisual,4
