transcript_id,section,sent_id,dep_word_id,head,deprel,dep_lemma,dep_text,dep_upos,verb_word_id,verb_lemma,verb_category,edge_role_detail,agency_role,group,long_cluster
creativity_0004,project_example,1,11,10,obj,ai,AI,NOUN,10,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0004,project_example,1,13,10,xcomp,draft,draft,VERB,10,use,AI_USE,XCOMP,OTHER,Audiovisual,4
creativity_0004,project_example,1,17,13,obj,letter,letter,NOUN,13,draft,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,project_example,2,34,33,obj,ai,AI,NOUN,33,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0004,project_example,2,37,36,obj,something,something,PRON,36,draft,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,project_example,3,6,5,obj,it,it,PRON,5,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0004,project_example,3,11,10,obj,graphic,graphics,NOUN,10,generate,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,project_example,3,42,40,obj,document,document,NOUN,40,produce,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,dynamic,1,17,15,obj,tool,tool,NOUN,15,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0004,dynamic,1,21,19,obj,letter,letter,NOUN,19,draft,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,dynamic,1,31,34,nsubj:pass,it,it,PRON,34,write,AUTHORSHIP,SUBJECT_PASS,PATIENT,Audiovisual,4
creativity_0004,dynamic,3,1,2,nsubj,i,I,PRON,2,think,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0004,dynamic,3,7,2,ccomp,same,same,ADJ,2,think,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0004,changed_aspects,2,13,12,obj,it,it,PRON,12,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0004,changed_aspects,2,17,18,nsubj,it,it,PRON,18,help,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0004,changed_aspects,2,19,18,xcomp,save,save,VERB,18,help,AI_USE,XCOMP,OTHER,Audiovisual,4
creativity_0004,changed_aspects,2,21,19,obj,bit,bit,NOUN,19,save,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0004,concerns,3,42,39,ccomp,struggle,struggle,VERB,39,think,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0004,concerns,4,18,13,obj,story,stories,NOUN,13,create,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,concerns,5,5,8,nsubj:pass,it,it,PRON,8,use,AI_USE,SUBJECT_PASS,PATIENT,Audiovisual,4
creativity_0004,concerns,5,10,8,xcomp,create,create,VERB,8,use,AI_USE,XCOMP,OTHER,Audiovisual,4
creativity_0004,concerns,5,16,10,obj,content,content,NOUN,10,create,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,concerns,6,1,2,nsubj,i,I,PRON,2,think,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0004,concerns,6,3,6,nsubj,it,it,PRON,6,create,AUTHORSHIP,SUBJECT,AGENT,Audiovisual,4
creativity_0004,concerns,6,6,2,ccomp,create,create,VERB,2,think,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0004,concerns,6,9,6,obj,barrier,barrier,NOUN,6,create,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,concerns,6,27,25,obj,skill,skills,NOUN,25,develop,IDEATION,OBJECT,PATIENT,Audiovisual,4
creativity_0004,future,1,1,2,nsubj,i,I,PRON,2,think,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0004,future,1,3,7,nsubj:pass,it,it,PRON,7,use,AI_USE,SUBJECT_PASS,PATIENT,Audiovisual,4
creativity_0004,future,1,7,2,ccomp,use,used,VERB,2,think,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0004,future,1,13,15,nsubj,which,which,PRON,15,help,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0004,future,1,16,15,xcomp,save,save,VERB,15,help,AI_USE,XCOMP,OTHER,Audiovisual,4
creativity_0004,future,1,17,16,obj,time,time,NOUN,16,save,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0004,future,2,1,2,nsubj,i,I,PRON,2,think,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0004,future,2,5,2,ccomp,have,has,VERB,2,think,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0004,future,2,18,16,obj,content,content,NOUN,16,generate,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,future,3,1,2,nsubj,i,I,PRON,2,think,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0004,future,3,5,2,ccomp,have,have,VERB,2,think,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0004,future,3,19,25,nsubj:pass,lot,lot,NOUN,25,generate,AUTHORSHIP,SUBJECT_PASS,PATIENT,Audiovisual,4
creativity_0004,future,3,24,25,nsubj:pass,computer,computer,NOUN,25,generate,AUTHORSHIP,SUBJECT_PASS,PATIENT,Audiovisual,4
creativity_0004,future,4,1,2,nsubj,i,I,PRON,2,imagine,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0004,future,4,8,10,nsubj,designer,designer,NOUN,10,use,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0004,future,4,12,10,obj,tool,tools,NOUN,10,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0004,future,4,16,14,obj,part,parts,NOUN,14,automate,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0004,future,4,21,23,nsubj,it,it,PRON,23,save,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0004,future,4,23,2,ccomp,save,save,VERB,2,imagine,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0004,future,4,25,23,obj,lot,lot,NOUN,23,save,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0004,future,4,42,41,iobj,we,us,PRON,41,allow,CONTROL,OBJECT,PATIENT,Audiovisual,4
creativity_0004,future,4,44,41,xcomp,create,create,VERB,41,allow,CONTROL,XCOMP,OTHER,Audiovisual,4
creativity_0004,future,4,47,44,obj,look,looking,NOUN,44,create,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,future,4,51,44,obj,effect,effects,NOUN,44,create,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0004,future,4,52,44,xcomp,quick,quicker,ADJ,44,create,AUTHORSHIP,XCOMP,OTHER,Audiovisual,4
creativity_0004,future,5,1,2,nsubj,i,I,PRON,2,think,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0004,future,5,7,2,ccomp,useful,useful,ADJ,2,think,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0004,future,7,5,7,obj,that,that,PRON,7,think,IDEATION,OBJECT,PATIENT,Audiovisual,4
creativity_0004,future,7,6,7,nsubj,i,I,PRON,7,think,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0004,future,7,12,7,ccomp,useful,useful,ADJ,7,think,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0005,basic_job_description,3,20,19,obj,caption,captions,NOUN,19,generate,AUTHORSHIP,OBJECT,PATIENT,"Art, design, crafts",1
creativity_0005,basic_job_description,4,31,29,obj,reel,reels,NOUN,29,integrate,AI_USE,OBJECT,PATIENT,"Art, design, crafts",1
creativity_0005,basic_job_description,7,26,27,nsubj,i,I,PRON,27,prepare,IDEATION,SUBJECT,AGENT,"Art, design, crafts",1
