lemma,upos,doc_count,total_count,mean_count,max_count,category,notes
confirm,VERB,2,2,1.0,1,,
contact,VERB,2,2,1.0,1,,
contract,VERB,2,2,1.0,1,,
copyright,VERB,2,2,1.0,1,,
count,VERB,2,2,1.0,1,,
crochet,VERB,2,2,1.0,1,,
curate,VERB,2,2,1.0,1,,
customize,VERB,2,2,1.0,1,,
cycle,VERB,2,2,1.0,1,,
dabble,VERB,2,2,1.0,1,,
decrease,VERB,2,2,1.0,1,,
dedicate,VERB,2,2,1.0,1,,
deepen,VERB,2,2,1.0,1,,
degrade,VERB,2,2,1.0,1,,
denoise,VERB,2,2,1.0,1,,
detail,VERB,2,2,1.0,1,,
devote,VERB,2,2,1.0,1,,
dig,VERB,2,2,1.0,1,,
discourage,VERB,2,2,1.0,1,,
discover,VERB,2,2,1.0,1,,
dislike,VERB,2,2,1.0,1,,
distill,VERB,2,2,1.0,1,,
distort,VERB,2,2,1.0,1,,
document,VERB,2,2,1.0,1,,
drill,VERB,2,2,1.0,1,,
dump,VERB,2,2,1.0,1,,
ease,VERB,2,2,1.0,1,,
educate,VERB,2,2,1.0,1,,
elaborate,VERB,2,2,1.0,1,,
elevate,VERB,2,2,1.0,1,,
eliminate,VERB,2,2,1.0,1,,
embroider,VERB,2,2,1.0,1,,
emphasize,VERB,2,2,1.0,1,,
entail,VERB,2,2,1.0,1,,
eradicate,VERB,2,2,1.0,1,,
estimate,VERB,2,2,1.0,1,,
exhibit,VERB,2,2,1.0,1,,
filter,VERB,2,2,1.0,1,,
fire,VERB,2,2,1.0,1,,
float,VERB,2,2,1.0,1,,
fold,VERB,2,2,1.0,1,,
fragment,VERB,2,2,1.0,1,,
fulfil,VERB,2,2,1.0,1,,
game,VERB,2,2,1.0,1,,
gape,VERB,2,2,1.0,1,,
glean,VERB,2,2,1.0,1,,
google,VERB,2,2,1.0,1,,
hallucinate,VERB,2,2,1.0,1,,
hammer,VERB,2,2,1.0,1,,
harm,VERB,2,2,1.0,1,,
head,VERB,2,2,1.0,1,,
hook,VERB,2,2,1.0,1,,
imitate,VERB,2,2,1.0,1,,
impress,VERB,2,2,1.0,1,,
inclined,VERB,2,2,1.0,1,,
input,VERB,2,2,1.0,1,,
insert,VERB,2,2,1.0,1,,
instruct,VERB,2,2,1.0,1,,
interest,VERB,2,2,1.0,1,,
interpret,VERB,2,2,1.0,1,,
interview,VERB,2,2,1.0,1,,
investigate,VERB,2,2,1.0,1,,
judge,VERB,2,2,1.0,1,,
justify,VERB,2,2,1.0,1,,
kill,VERB,2,2,1.0,1,,
land,VERB,2,2,1.0,1,,
last,VERB,2,2,1.0,1,,
level,VERB,2,2,1.0,1,,
lie,VERB,2,2,1.0,1,,
line,VERB,2,2,1.0,1,,
list,VERB,2,2,1.0,1,,
locate,VERB,2,2,1.0,1,,
master,VERB,2,2,1.0,1,,
mimick,VERB,2,2,1.0,1,,
misuse,VERB,2,2,1.0,1,,
model,VERB,2,2,1.0,1,,
modify,VERB,2,2,1.0,1,,
note,VERB,2,2,1.0,1,,
obtain,VERB,2,2,1.0,1,,
operate,VERB,2,2,1.0,1,,
order,VERB,2,2,1.0,1,,
overcome,VERB,2,2,1.0,1,,
oversaturate,VERB,2,2,1.0,1,,
pace,VERB,2,2,1.0,1,,
perfect,VERB,2,2,1.0,1,,
personalize,VERB,2,2,1.0,1,,
photoshop,VERB,2,2,1.0,1,,
photoshopp,VERB,2,2,1.0,1,,
plot,VERB,2,2,1.0,1,,
pop,VERB,2,2,1.0,1,,
prepp,VERB,2,2,1.0,1,,
profit,VERB,2,2,1.0,1,,
project,VERB,2,2,1.0,1,,
query,VERB,2,2,1.0,1,,
question,VERB,2,2,1.0,1,,
quote,VERB,2,2,1.0,1,,
rather,VERB,2,2,1.0,1,,
recall,VERB,2,2,1.0,1,,
reign,VERB,2,2,1.0,1,,
remix,VERB,2,2,1.0,1,,
rent,VERB,2,2,1.0,1,,
repair,VERB,2,2,1.0,1,,
rephrase,VERB,2,2,1.0,1,,
reply,VERB,2,2,1.0,1,,
resolve,VERB,2,2,1.0,1,,
reverse,VERB,2,2,1.0,1,,
revolve,VERB,2,2,1.0,1,,
rip,VERB,2,2,1.0,1,,
rob,VERB,2,2,1.0,1,,
roll,VERB,2,2,1.0,1,,
ruin,VERB,2,2,1.0,1,,
rule,VERB,2,2,1.0,1,,
saturate,VERB,2,2,1.0,1,,
scale,VERB,2,2,1.0,1,,
scan,VERB,2,2,1.0,1,,
score,VERB,2,2,1.0,1,,
scour,VERB,2,2,1.0,1,,
scrape,VERB,2,2,1.0,1,,
scroll,VERB,2,2,1.0,1,,
sculpt,VERB,2,2,1.0,1,,
seal,VERB,2,2,1.0,1,,
separate,VERB,2,2,1.0,1,,
sew,VERB,2,2,1.0,1,,
shorten,VERB,2,2,1.0,1,,
shoulder,VERB,2,2,1.0,1,,
slap,VERB,2,2,1.0,1,,
sleep,VERB,2,2,1.0,1,,
solve,VERB,2,2,1.0,1,,
spitball,VERB,2,2,1.0,1,,
splice,VERB,2,2,1.0,1,,
step,VERB,2,2,1.0,1,,
stiff,VERB,2,2,1.0,1,,
storyboard,VERB,2,2,1.0,1,,
structuring,VERB,2,2,1.0,1,,
subscribe,VERB,2,2,1.0,1,,
suck,VERB,2,2,1.0,1,,
summarize,VERB,2,2,1.0,1,,
tidy,VERB,2,2,1.0,1,,
tighten,VERB,2,2,1.0,1,,
toss,VERB,2,2,1.0,1,,
trace,VERB,2,2,1.0,1,,
track,VERB,2,2,1.0,1,,
trend,VERB,2,2,1.0,1,,
validate,VERB,2,2,1.0,1,,
value,VERB,2,2,1.0,1,,
