transcript_id,role,section,lemma,upos,count
creativity_0000,user,walkthrough,quick,ADJ,1
creativity_0000,user,walkthrough,really,ADV,1
creativity_0000,user,walkthrough,should,AUX,1
creativity_0000,user,walkthrough,smart,ADJ,1
creativity_0000,user,walkthrough,some,DET,1
creativity_0000,user,walkthrough,sometimes,ADV,1
creativity_0000,user,walkthrough,talk,VERB,1
creativity_0000,user,walkthrough,technique,NOUN,1
creativity_0000,user,walkthrough,theory,NOUN,1
creativity_0000,user,walkthrough,through,ADP,1
creativity_0000,user,walkthrough,to,PART,1
creativity_0000,user,walkthrough,tool,NOUN,1
creativity_0000,user,walkthrough,try,VERB,1
creativity_0000,user,walkthrough,use,VERB,2
creativity_0000,user,walkthrough,vision,NOUN,1
creativity_0000,user,walkthrough,—,PUNCT,1
creativity_0001,user,basic_job_description,",",PUNCT,4
creativity_0001,user,basic_job_description,-,PUNCT,1
creativity_0001,user,basic_job_description,.,PUNCT,4
creativity_0001,user,basic_job_description,I,PRON,6
creativity_0001,user,basic_job_description,a,DET,3
creativity_0001,user,basic_job_description,access,NOUN,1
creativity_0001,user,basic_job_description,also,ADV,1
creativity_0001,user,basic_job_description,and,CCONJ,3
creativity_0001,user,basic_job_description,audio,NOUN,1
creativity_0001,user,basic_job_description,band,NOUN,1
creativity_0001,user,basic_job_description,be,AUX,3
creativity_0001,user,basic_job_description,can,AUX,1
creativity_0001,user,basic_job_description,client,NOUN,1
creativity_0001,user,basic_job_description,come,VERB,1
creativity_0001,user,basic_job_description,current,ADJ,1
creativity_0001,user,basic_job_description,demo,NOUN,1
creativity_0001,user,basic_job_description,do,VERB,1
creativity_0001,user,basic_job_description,electronic,ADJ,1
creativity_0001,user,basic_job_description,engineer,NOUN,1
creativity_0001,user,basic_job_description,exclusively,ADV,1
creativity_0001,user,basic_job_description,from,ADP,1
creativity_0001,user,basic_job_description,full,ADJ,1
creativity_0001,user,basic_job_description,guitar,NOUN,1
creativity_0001,user,basic_job_description,have,AUX,1
creativity_0001,user,basic_job_description,have,VERB,1
creativity_0001,user,basic_job_description,home,NOUN,1
creativity_0001,user,basic_job_description,hope,VERB,1
creativity_0001,user,basic_job_description,in,ADP,1
creativity_0001,user,basic_job_description,many,ADJ,1
creativity_0001,user,basic_job_description,mix,VERB,1
creativity_0001,user,basic_job_description,mixing,NOUN,2
creativity_0001,user,basic_job_description,more,ADJ,1
creativity_0001,user,basic_job_description,move,NOUN,1
creativity_0001,user,basic_job_description,move,VERB,1
creativity_0001,user,basic_job_description,music,NOUN,3
creativity_0001,user,basic_job_description,my,PRON,3
creativity_0001,user,basic_job_description,not,PART,1
creativity_0001,user,basic_job_description,of,ADP,1
creativity_0001,user,basic_job_description,original,ADJ,1
creativity_0001,user,basic_job_description,overseas,ADJ,1
creativity_0001,user,basic_job_description,own,ADJ,1
creativity_0001,user,basic_job_description,play,VERB,1
creativity_0001,user,basic_job_description,produce,VERB,1
creativity_0001,user,basic_job_description,producer,NOUN,1
creativity_0001,user,basic_job_description,production,NOUN,1
creativity_0001,user,basic_job_description,project,NOUN,2
creativity_0001,user,basic_job_description,record,NOUN,1
creativity_0001,user,basic_job_description,record,VERB,1
creativity_0001,user,basic_job_description,recording,NOUN,1
