group,category,pos_group,lemma,token_count,cc_total,c_total,lemma_in_cluster,p_lemma_given_cluster_cat,p_lemma_given_cluster,distinctiveness_cluster
Audiovisual,AI_USE,VERB,point,6,1543,3810,6,0.0037528868360277136,0.001625406351587897,0.8367675197244386
Audiovisual,AI_USE,VERB,prompt,7,1543,3810,7,0.0043302540415704385,0.0018754688672168042,0.8367675197244386
Audiovisual,AI_USE,VERB,provide,6,1543,3810,6,0.0037528868360277136,0.001625406351587897,0.8367675197244386
Audiovisual,AI_USE,VERB,sound,25,1543,3810,25,0.014722863741339492,0.006376594148537134,0.8367675197244386
Audiovisual,AI_USE,VERB,spend,10,1543,3810,10,0.006062355658198615,0.002625656414103526,0.8367675197244386
Audiovisual,AI_USE,VERB,struggle,7,1543,3810,7,0.0043302540415704385,0.0018754688672168042,0.8367675197244386
Audiovisual,AI_USE,VERB,worry,7,1543,3810,7,0.0043302540415704385,0.0018754688672168042,0.8367675197244386
Audiovisual,AUTHORSHIP,NOUN,article,2,1399,3810,2,0.0015743073047858943,0.000625156289072268,0.9235689670397376
Audiovisual,AUTHORSHIP,NOUN,book,2,1399,3810,2,0.0015743073047858943,0.000625156289072268,0.9235689670397376
Audiovisual,AUTHORSHIP,NOUN,content,11,1399,3810,11,0.007241813602015114,0.002875718929732433,0.9235689670397376
Audiovisual,AUTHORSHIP,NOUN,conversation,3,1399,3810,3,0.002204030226700252,0.0008752188047011753,0.9235689670397376
Audiovisual,AUTHORSHIP,NOUN,couple,7,1399,3810,7,0.004722921914357683,0.0018754688672168042,0.9235689670397376
Audiovisual,AUTHORSHIP,NOUN,description,3,1399,3810,3,0.002204030226700252,0.0008752188047011753,0.9235689670397376
Audiovisual,AUTHORSHIP,NOUN,effect,4,1399,3810,4,0.0028337531486146094,0.0011252813203300824,0.9235689670397376
Audiovisual,AUTHORSHIP,NOUN,email,4,1399,3810,4,0.0028337531486146094,0.0011252813203300824,0.9235689670397376
Audiovisual,AUTHORSHIP,NOUN,event,5,1399,3810,5,0.0034634760705289673,0.0013753438359589898,0.9235689670397376
Audiovisual,AUTHORSHIP,NOUN,field,5,1399,3810,5,0.0034634760705289673,0.0013753438359589898,0.9235689670397376
Audiovisual,AUTHORSHIP,NOUN,film,23,1399,3810,23,0.014798488664987406,0.0058764691172793196,0.9235689670397376
Audiovisual,AUTHORSHIP,NOUN,game,7,1399,3810,7,0.004722921914357683,0.0018754688672168042,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,add,10,1399,3810,10,0.006612090680100755,0.002625656414103526,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,answer,2,1399,3810,2,0.0015743073047858943,0.000625156289072268,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,assist,3,1399,3810,3,0.002204030226700252,0.0008752188047011753,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,bring,4,1399,3810,4,0.0028337531486146094,0.0011252813203300824,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,build,3,1399,3810,3,0.002204030226700252,0.0008752188047011753,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,change,15,1399,3810,15,0.009760705289672544,0.003875968992248062,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,clean,3,1399,3810,3,0.002204030226700252,0.0008752188047011753,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,combine,4,1399,3810,4,0.0028337531486146094,0.0011252813203300824,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,consume,2,1399,3810,2,0.0015743073047858943,0.000625156289072268,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,craft,2,1399,3810,2,0.0015743073047858943,0.000625156289072268,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,create,31,1399,3810,31,0.019836272040302267,0.007876969242310577,0.9235689670397376
Audiovisual,AUTHORSHIP,VERB,cut,2,1399,3810,2,0.0015743073047858943,0.000625156289072268,0.9235689670397376
Audiovisual,CONTROL,NOUN,direction,5,135,3810,5,0.016975308641975308,0.0013753438359589898,2.513056093054489
Audiovisual,CONTROL,NOUN,media,6,135,3810,6,0.020061728395061727,0.001625406351587897,2.513056093054489
Audiovisual,CONTROL,NOUN,decision,11,135,3810,11,0.035493827160493825,0.002875718929732433,2.5130560930544887
Audiovisual,CONTROL,NOUN,question,11,135,3810,11,0.035493827160493825,0.002875718929732433,2.5130560930544887
Audiovisual,CONTROL,NOUN,chat,1,135,3810,1,0.004629629629629629,0.00037509377344336085,2.5130560930544883
Audiovisual,CONTROL,NOUN,control,3,135,3810,3,0.010802469135802469,0.0008752188047011753,2.5130560930544883
Audiovisual,CONTROL,NOUN,experience,3,135,3810,3,0.010802469135802469,0.0008752188047011753,2.5130560930544883
Audiovisual,CONTROL,VERB,allow,7,135,3810,7,0.023148148148148147,0.0018754688672168042,2.513056093054489
Audiovisual,CONTROL,VERB,drive,4,135,3810,4,0.013888888888888888,0.0011252813203300824,2.513056093054489
Audiovisual,CONTROL,VERB,let,10,135,3810,10,0.032407407407407406,0.002625656414103526,2.513056093054489
Audiovisual,CONTROL,VERB,make,55,135,3810,55,0.1712962962962963,0.01387846961740435,2.513056093054489
Audiovisual,CONTROL,VERB,set,9,135,3810,9,0.029320987654320986,0.0023755938984746186,2.513056093054489
Audiovisual,CONTROL,VERB,choose,1,135,3810,1,0.004629629629629629,0.00037509377344336085,2.5130560930544883
Audiovisual,CONTROL,VERB,determine,1,135,3810,1,0.004629629629629629,0.00037509377344336085,2.5130560930544883
Audiovisual,CONTROL,VERB,direct,1,135,3810,1,0.004629629629629629,0.00037509377344336085,2.5130560930544883
Audiovisual,CONTROL,VERB,guide,1,135,3810,1,0.004629629629629629,0.00037509377344336085,2.5130560930544883
Audiovisual,CONTROL,VERB,lead,3,135,3810,3,0.010802469135802469,0.0008752188047011753,2.5130560930544883
Audiovisual,CONTROL,VERB,manage,3,135,3810,3,0.010802469135802469,0.0008752188047011753,2.5130560930544883
Audiovisual,IDEATION,NOUN,creativity,7,733,3810,7,0.008134490238611713,0.0018754688672168042,1.4672543852902251
Audiovisual,IDEATION,NOUN,editing,4,733,3810,4,0.004880694143167028,0.0011252813203300824,1.4672543852902251
Audiovisual,IDEATION,NOUN,feature,7,733,3810,7,0.008134490238611713,0.0018754688672168042,1.4672543852902251
Audiovisual,IDEATION,NOUN,inspiration,4,733,3810,4,0.004880694143167028,0.0011252813203300824,1.4672543852902251
Audiovisual,IDEATION,NOUN,planning,6,733,3810,6,0.0070498915401301515,0.001625406351587897,1.4672543852902251
Audiovisual,IDEATION,NOUN,style,9,733,3810,9,0.010303687635574838,0.0023755938984746186,1.4672543852902251
Audiovisual,IDEATION,NOUN,theme,7,733,3810,7,0.008134490238611713,0.0018754688672168042,1.4672543852902251
Audiovisual,IDEATION,NOUN,tone,6,733,3810,6,0.0070498915401301515,0.001625406351587897,1.4672543852902251
Audiovisual,IDEATION,NOUN,idea,52,733,3810,52,0.056941431670282,0.01312828207051763,1.4672543852902247
Audiovisual,IDEATION,NOUN,area,3,733,3810,3,0.003796095444685466,0.0008752188047011753,1.4672543852902242
Audiovisual,IDEATION,NOUN,blog,2,733,3810,2,0.0027114967462039045,0.000625156289072268,1.4672543852902242
Audiovisual,IDEATION,NOUN,board,2,733,3810,2,0.0027114967462039045,0.000625156289072268,1.4672543852902242
Audiovisual,IDEATION,VERB,come,16,733,3810,16,0.01789587852494577,0.004126031507876969,1.4672543852902251
Audiovisual,IDEATION,VERB,copy,4,733,3810,4,0.004880694143167028,0.0011252813203300824,1.4672543852902251
Audiovisual,IDEATION,VERB,keep,9,733,3810,9,0.010303687635574838,0.0023755938984746186,1.4672543852902251
Audiovisual,IDEATION,VERB,research,7,733,3810,7,0.008134490238611713,0.0018754688672168042,1.4672543852902251
Audiovisual,IDEATION,VERB,talk,4,733,3810,4,0.004880694143167028,0.0011252813203300824,1.4672543852902251
Audiovisual,IDEATION,VERB,think,53,733,3810,53,0.05802603036876356,0.013378344586146536,1.4672543852902251
Audiovisual,IDEATION,VERB,like,73,733,3810,73,0.0797180043383948,0.01837959489872468,1.4672543852902247
Audiovisual,IDEATION,VERB,have,172,733,3810,172,0.18709327548806942,0.043135783945986494,1.4672543852902244
Audiovisual,IDEATION,VERB,base,5,733,3810,5,0.00596529284164859,0.0013753438359589898,1.4672543852902242
Audiovisual,IDEATION,VERB,bounce,3,733,3810,3,0.003796095444685466,0.0008752188047011753,1.4672543852902242
Audiovisual,IDEATION,VERB,brainstorm,5,733,3810,5,0.00596529284164859,0.0013753438359589898,1.4672543852902242
Audiovisual,IDEATION,VERB,complete,2,733,3810,2,0.0027114967462039045,0.000625156289072268,1.4672543852902242
Content writing,AI_USE,NOUN,ai,247,2150,5205,247,0.10581445061992305,0.04588431590656285,0.8355637371154967
Content writing,AI_USE,NOUN,time,64,2150,5205,64,0.027575887131252672,0.011957730812013349,0.8355637371154967
Content writing,AI_USE,NOUN,admin,1,2150,5205,1,0.0006412997007268063,0.00027808676307007786,0.8355637371154963
Content writing,AI_USE,NOUN,amount,8,2150,5205,8,0.0036340316374519027,0.0015758249907304412,0.8355637371154963
Content writing,AI_USE,NOUN,artist,4,2150,5205,4,0.001923899102180419,0.0008342602892102336,0.8355637371154963
Content writing,AI_USE,NOUN,aspect,9,2150,5205,9,0.004061564771269773,0.0017612161661104931,0.8355637371154963
Content writing,AI_USE,NOUN,assistant,11,2150,5205,11,0.004916631038905515,0.002131998516870597,0.8355637371154963
Content writing,AI_USE,NOUN,audio,1,2150,5205,1,0.0006412997007268063,0.00027808676307007786,0.8355637371154963
Content writing,AI_USE,NOUN,author,8,2150,5205,8,0.0036340316374519027,0.0015758249907304412,0.8355637371154963
Content writing,AI_USE,NOUN,background,3,2150,5205,3,0.001496365968362548,0.0006488691138301817,0.8355637371154963
Content writing,AI_USE,NOUN,bit,23,2150,5205,23,0.010047028644719966,0.0043566926214312195,0.8355637371154963
Content writing,AI_USE,NOUN,brainstorming,7,2150,5205,7,0.0032064985036340315,0.0013904338153503894,0.8355637371154963
Content writing,AI_USE,VERB,accept,4,2150,5205,4,0.001923899102180419,0.0008342602892102336,0.8355637371154963
Content writing,AI_USE,VERB,act,1,2150,5205,1,0.0006412997007268063,0.00027808676307007786,0.8355637371154963
Content writing,AI_USE,VERB,adapt,3,2150,5205,3,0.001496365968362548,0.0006488691138301817,0.8355637371154963
Content writing,AI_USE,VERB,affect,1,2150,5205,1,0.0006412997007268063,0.00027808676307007786,0.8355637371154963
Content writing,AI_USE,VERB,apply,2,2150,5205,2,0.0010688328345446773,0.0004634779384501298,0.8355637371154963
Content writing,AI_USE,VERB,attempt,7,2150,5205,7,0.0032064985036340315,0.0013904338153503894,0.8355637371154963
Content writing,AI_USE,VERB,automate,1,2150,5205,1,0.0006412997007268063,0.00027808676307007786,0.8355637371154963
Content writing,AI_USE,VERB,avoid,3,2150,5205,3,0.001496365968362548,0.0006488691138301817,0.8355637371154963
Content writing,AI_USE,VERB,become,11,2150,5205,11,0.004916631038905515,0.002131998516870597,0.8355637371154963
Content writing,AI_USE,VERB,begin,3,2150,5205,3,0.001496365968362548,0.0006488691138301817,0.8355637371154963
Content writing,AI_USE,VERB,believe,7,2150,5205,7,0.0032064985036340315,0.0013904338153503894,0.8355637371154963
Content writing,AI_USE,VERB,buy,2,2150,5205,2,0.0010688328345446773,0.0004634779384501298,0.8355637371154963
Content writing,AUTHORSHIP,NOUN,thing,37,1808,5205,37,0.018778167250876315,0.006952169076751946,0.9936411702838606
Content writing,AUTHORSHIP,NOUN,ability,4,1808,5205,4,0.002253380070105158,0.0008342602892102336,0.9936411702838601
Content writing,AUTHORSHIP,NOUN,art,11,1808,5205,11,0.005758637956935403,0.002131998516870597,0.9936411702838601
Content writing,AUTHORSHIP,NOUN,article,22,1808,5205,22,0.011266900350525789,0.004171301446051168,0.9936411702838601
Content writing,AUTHORSHIP,NOUN,asset,25,1808,5205,25,0.012769153730595895,0.004727474972191324,0.9936411702838601
Content writing,AUTHORSHIP,NOUN,book,15,1808,5205,15,0.007761642463695543,0.0028735632183908046,0.9936411702838601
Content writing,AUTHORSHIP,NOUN,content,40,1808,5205,40,0.02028042063094642,0.007508342602892102,0.9936411702838601
Content writing,AUTHORSHIP,NOUN,conversation,5,1808,5205,5,0.002754131196795193,0.0010196514645902854,0.9936411702838601
