transcript_id,section,sent_id,dep_word_id,head,deprel,dep_lemma,dep_text,verb_word_id,verb_lemma,verb_category,edge_role,group,long_cluster
creativity_0003,walkthrough,2,6,5,iobj,ai,AI,5,ask,AI_USE,OBJECT,Content writing,2
creativity_0003,project_example,2,3,4,nsubj,i,I,4,ask,AI_USE,SUBJECT,Content writing,2
creativity_0003,project_example,2,5,4,iobj,ai,AI,4,ask,AI_USE,OBJECT,Content writing,2
creativity_0003,project_example,4,4,1,obj,class,classes,1,plan,CONTROL,OBJECT,Content writing,2
creativity_0003,project_example,5,1,3,nsubj,ai,AI,3,save,AI_USE,SUBJECT,Content writing,2
creativity_0003,project_example,5,4,3,iobj,i,me,3,save,AI_USE,OBJECT,Content writing,2
creativity_0003,project_example,5,7,3,obj,time,time,3,save,AI_USE,OBJECT,Content writing,2
creativity_0003,project_example,6,3,5,nsubj,i,I,5,spend,AI_USE,SUBJECT,Content writing,2
creativity_0003,project_example,6,7,5,obj,lot,lot,5,spend,AI_USE,OBJECT,Content writing,2
creativity_0003,project_example,6,13,10,obj,plan,plans,10,research,IDEATION,OBJECT,Content writing,2
creativity_0003,project_example,7,15,18,obj,that,that,18,use,AI_USE,OBJECT,Content writing,2
creativity_0003,project_example,7,16,18,nsubj,i,I,18,use,AI_USE,SUBJECT,Content writing,2
creativity_0003,project_example,10,10,7,obj,plan,plans,7,edit,CONTROL,OBJECT,Content writing,2
creativity_0003,project_example,11,4,6,nsubj,i,I,6,ask,AI_USE,SUBJECT,Content writing,2
creativity_0003,project_example,11,7,6,iobj,ai,AI,6,ask,AI_USE,OBJECT,Content writing,2
creativity_0003,project_example,11,15,17,nsubj,i,I,17,ask,AI_USE,SUBJECT,Content writing,2
creativity_0003,project_example,11,18,17,iobj,it,it,17,ask,AI_USE,OBJECT,Content writing,2
creativity_0003,dynamic,1,7,9,nsubj,i,I,9,drive,CONTROL,SUBJECT,Content writing,2
creativity_0003,dynamic,1,12,9,obj,decision,decisions,9,drive,CONTROL,OBJECT,Content writing,2
creativity_0003,changed_aspects,4,1,2,nsubj,ai,AI,2,allow,CONTROL,SUBJECT,Content writing,2
creativity_0003,changed_aspects,4,3,2,iobj,i,me,2,allow,CONTROL,OBJECT,Content writing,2
creativity_0003,changed_aspects,4,7,5,obj,possibility,possibilities,5,explore,IDEATION,OBJECT,Content writing,2
creativity_0003,concerns,4,9,8,obj,it,it,8,use,AI_USE,OBJECT,Content writing,2
creativity_0003,concerns,6,1,2,nsubj,i,I,2,plan,CONTROL,SUBJECT,Content writing,2
creativity_0003,concerns,7,14,17,nsubj,i,I,17,create,AUTHORSHIP,SUBJECT,Content writing,2
creativity_0003,concerns,7,20,17,obj,plan,plan,17,create,AUTHORSHIP,OBJECT,Content writing,2
creativity_0003,concerns,7,29,28,obj,ai,AI,28,use,AI_USE,OBJECT,Content writing,2
creativity_0003,future,1,5,4,obj,it,it,4,use,AI_USE,OBJECT,Content writing,2
creativity_0003,future,2,3,5,nsubj,i,I,5,love,AI_USE,SUBJECT,Content writing,2
creativity_0003,future,2,25,26,nsubj,it,it,26,tell,AI_USE,SUBJECT,Content writing,2
creativity_0003,future,2,27,26,iobj,i,me,26,tell,AI_USE,OBJECT,Content writing,2
creativity_0004,intro,1,4,3,obj,we,'s,3,let,CONTROL,OBJECT,Audiovisual,4
creativity_0004,walkthrough,1,15,13,obj,task,tasks,13,automate,AI_USE,OBJECT,Audiovisual,4
creativity_0004,walkthrough,3,9,8,obj,memo,memos,8,draft,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,project_example,1,9,10,nsubj,we,we,10,use,AI_USE,SUBJECT,Audiovisual,4
creativity_0004,project_example,1,11,10,obj,ai,AI,10,use,AI_USE,OBJECT,Audiovisual,4
creativity_0004,project_example,1,17,13,obj,letter,letter,13,draft,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,project_example,2,34,33,obj,ai,AI,33,use,AI_USE,OBJECT,Audiovisual,4
creativity_0004,project_example,2,37,36,obj,something,something,36,draft,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,project_example,3,6,5,obj,it,it,5,use,AI_USE,OBJECT,Audiovisual,4
creativity_0004,project_example,3,11,10,obj,graphic,graphics,10,generate,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,project_example,3,42,40,obj,document,document,40,produce,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,dynamic,1,17,15,obj,tool,tool,15,use,AI_USE,OBJECT,Audiovisual,4
creativity_0004,dynamic,1,21,19,obj,letter,letter,19,draft,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,dynamic,1,31,34,nsubj:pass,it,it,34,write,AUTHORSHIP,SUBJECT,Audiovisual,4
creativity_0004,dynamic,3,1,2,nsubj,i,I,2,think,IDEATION,SUBJECT,Audiovisual,4
creativity_0004,changed_aspects,2,13,12,obj,it,it,12,use,AI_USE,OBJECT,Audiovisual,4
creativity_0004,changed_aspects,2,17,18,nsubj,it,it,18,help,AI_USE,SUBJECT,Audiovisual,4
creativity_0004,changed_aspects,2,21,19,obj,bit,bit,19,save,AI_USE,OBJECT,Audiovisual,4
creativity_0004,concerns,4,18,13,obj,story,stories,13,create,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,concerns,5,5,8,nsubj:pass,it,it,8,use,AI_USE,SUBJECT,Audiovisual,4
creativity_0004,concerns,5,16,10,obj,content,content,10,create,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,concerns,6,1,2,nsubj,i,I,2,think,IDEATION,SUBJECT,Audiovisual,4
creativity_0004,concerns,6,3,6,nsubj,it,it,6,create,AUTHORSHIP,SUBJECT,Audiovisual,4
creativity_0004,concerns,6,9,6,obj,barrier,barrier,6,create,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,concerns,6,27,25,obj,skill,skills,25,develop,IDEATION,OBJECT,Audiovisual,4
creativity_0004,future,1,1,2,nsubj,i,I,2,think,IDEATION,SUBJECT,Audiovisual,4
creativity_0004,future,1,3,7,nsubj:pass,it,it,7,use,AI_USE,SUBJECT,Audiovisual,4
creativity_0004,future,1,13,15,nsubj,which,which,15,help,AI_USE,SUBJECT,Audiovisual,4
creativity_0004,future,1,17,16,obj,time,time,16,save,AI_USE,OBJECT,Audiovisual,4
creativity_0004,future,2,1,2,nsubj,i,I,2,think,IDEATION,SUBJECT,Audiovisual,4
creativity_0004,future,2,18,16,obj,content,content,16,generate,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,future,3,1,2,nsubj,i,I,2,think,IDEATION,SUBJECT,Audiovisual,4
creativity_0004,future,3,19,25,nsubj:pass,lot,lot,25,generate,AUTHORSHIP,SUBJECT,Audiovisual,4
creativity_0004,future,3,24,25,nsubj:pass,computer,computer,25,generate,AUTHORSHIP,SUBJECT,Audiovisual,4
creativity_0004,future,4,1,2,nsubj,i,I,2,imagine,IDEATION,SUBJECT,Audiovisual,4
creativity_0004,future,4,8,10,nsubj,designer,designer,10,use,AI_USE,SUBJECT,Audiovisual,4
creativity_0004,future,4,12,10,obj,tool,tools,10,use,AI_USE,OBJECT,Audiovisual,4
creativity_0004,future,4,16,14,obj,part,parts,14,automate,AI_USE,OBJECT,Audiovisual,4
creativity_0004,future,4,21,23,nsubj,it,it,23,save,AI_USE,SUBJECT,Audiovisual,4
creativity_0004,future,4,25,23,obj,lot,lot,23,save,AI_USE,OBJECT,Audiovisual,4
creativity_0004,future,4,42,41,iobj,we,us,41,allow,CONTROL,OBJECT,Audiovisual,4
creativity_0004,future,4,47,44,obj,look,looking,44,create,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,future,4,51,44,obj,effect,effects,44,create,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0004,future,5,1,2,nsubj,i,I,2,think,IDEATION,SUBJECT,Audiovisual,4
creativity_0004,future,7,5,7,obj,that,that,7,think,IDEATION,OBJECT,Audiovisual,4
creativity_0004,future,7,6,7,nsubj,i,I,7,think,IDEATION,SUBJECT,Audiovisual,4
